Date,Open,High,Low,Close,Adj Close,Volume
2017-01-23,57.419998,57.900002,57.150002,57.759998,52.434830,6814400
2017-01-24,57.930000,58.500000,57.759998,58.439999,53.052147,10704100
2017-01-25,58.669998,58.930000,58.450001,58.700001,53.288174,7117600
2017-01-26,58.700001,59.000000,58.259998,58.459999,53.070305,12382400
2017-01-27,55.750000,56.590000,55.650002,56.119999,50.946045,28884900
2017-01-30,56.000000,56.240002,55.580002,55.900002,50.746315,13322000
2017-01-31,55.799999,55.869999,54.880001,55.220001,50.129009,14308000
2017-02-01,55.490002,55.500000,53.810001,53.900002,48.930706,18796900
2017-02-02,54.040001,54.389999,53.849998,53.869999,48.903473,15289700
2017-02-03,54.209999,55.099998,54.009998,55.060001,49.983765,14161700
2017-02-06,55.009998,55.750000,54.900002,55.730000,50.591988,13029800
2017-02-07,55.790001,55.840000,55.180000,55.240002,50.373131,9910500
2017-02-08,55.189999,55.500000,55.099998,55.220001,50.354889,11681900
2017-02-09,55.230000,56.119999,55.209999,55.810001,50.892918,11106800
2017-02-10,55.730000,56.400002,55.560001,56.220001,51.266800,11179000
2017-02-13,56.500000,56.660000,56.029999,56.110001,51.166485,8027900
2017-02-14,56.020000,56.610001,56.020000,56.580002,51.595074,8865900
2017-02-15,56.560001,56.880001,56.310001,56.860001,51.850403,6967200
2017-02-16,56.959999,56.990002,56.529999,56.730000,51.731857,8524500
2017-02-17,56.799999,57.570000,56.709999,57.349998,52.297237,11008400
2017-02-21,57.410000,57.810001,57.400002,57.540001,52.470493,8289200
2017-02-22,57.520000,57.849998,57.349998,57.570000,52.497849,7876600
2017-02-23,57.599998,57.790001,57.389999,57.639999,52.561684,7178600
2017-02-24,57.610001,57.709999,57.150002,57.480000,52.415783,7806200
2017-02-27,57.240002,57.299999,56.660000,56.779999,51.777454,7702400
2017-02-28,56.709999,57.060001,56.549999,56.869999,51.859524,8750700
2017-03-01,57.270000,57.400002,56.939999,57.139999,52.105740,7198000
2017-03-02,57.070000,57.189999,56.849998,57.119999,52.087490,6595400
2017-03-03,56.700001,57.259998,56.700001,57.099998,52.069260,7735900
2017-03-06,56.779999,56.810001,56.330002,56.680000,51.686268,9160000
2017-03-07,56.580002,56.750000,56.020000,56.200001,51.248554,10890300
2017-03-08,56.150002,56.349998,55.540001,55.740002,50.829079,13061600
2017-03-09,55.750000,55.799999,54.810001,55.189999,50.327538,17844200
2017-03-10,55.389999,55.400002,54.419998,54.529999,49.725693,13886400
2017-03-13,54.570000,54.880001,54.400002,54.630001,49.816879,9090200
2017-03-14,54.619999,54.740002,54.189999,54.270000,49.488598,7892900
2017-03-15,54.389999,54.650002,54.090000,54.540001,49.734814,8712000
2017-03-16,54.849998,54.990002,54.660000,54.799999,49.971905,8074300
2017-03-17,55.040001,56.130001,54.950001,55.779999,50.865559,15822100
2017-03-20,55.869999,56.049999,55.509998,55.810001,50.892918,7948400
2017-03-21,56.049999,56.450001,55.490002,55.540001,50.646702,8030600
2017-03-22,55.680000,56.040001,55.509998,55.889999,50.965866,8452100
2017-03-23,56.150002,56.430000,55.779999,55.849998,50.929386,7357200
2017-03-24,56.110001,57.380001,55.900002,56.810001,51.804806,15763000
2017-03-27,56.660000,57.450001,56.459999,57.230000,52.187809,8861800
2017-03-28,57.099998,57.520000,57.029999,57.349998,52.297237,8331600
2017-03-29,57.169998,57.849998,57.130001,57.540001,52.470493,7001600
2017-03-30,57.450001,58.299999,57.419998,58.160000,53.035866,8677900
2017-03-31,58.110001,58.660000,58.060001,58.389999,53.245617,9156700
2017-04-03,58.279999,58.470001,57.889999,58.439999,53.291203,8989000
2017-04-04,58.369999,58.410000,58.009998,58.320000,53.181778,6474800
2017-04-05,57.959999,59.270000,57.810001,58.220001,53.090591,13656200
2017-04-06,58.130001,58.360001,57.730000,57.919998,52.817013,9112500
2017-04-07,57.799999,58.250000,57.549999,58.020000,52.908211,6773800
2017-04-10,58.000000,58.209999,57.730000,57.950001,52.844372,5266300
2017-04-11,57.740002,58.160000,57.380001,57.880001,52.780540,5855100
2017-04-12,57.880001,57.900002,57.480000,57.580002,52.506973,5450300
2017-04-13,57.610001,57.790001,57.450001,57.509998,52.443138,4871700
2017-04-17,57.680000,58.250000,57.680000,58.080002,52.962917,5626000
2017-04-18,57.590000,58.480000,57.590000,58.349998,53.209129,5449300
2017-04-19,58.599998,59.490002,58.500000,59.040001,53.838341,12000600
2017-04-20,59.709999,60.340000,59.560001,60.080002,54.786709,12445900
2017-04-21,60.200001,60.689999,60.150002,60.610001,55.270020,8800000
2017-04-24,61.000000,61.380001,60.889999,61.110001,55.725964,10721300
2017-04-25,60.650002,61.209999,59.919998,60.959999,55.589188,11031500
2017-04-26,61.230000,61.750000,60.980000,61.560001,56.136322,8525400
2017-04-27,61.630001,61.939999,61.189999,61.299999,55.899223,15285300
2017-04-28,59.410000,60.180000,58.990002,60.060001,54.768478,25046100
2017-05-01,60.000000,60.599998,59.759998,60.180000,54.877907,10910300
2017-05-02,60.150002,60.520000,60.040001,60.500000,55.169712,9152100
2017-05-03,60.520000,60.669998,60.259998,60.590000,55.251778,7706400
2017-05-04,60.650002,60.849998,60.389999,60.830002,55.470631,6874300
2017-05-05,60.950001,60.990002,60.580002,60.950001,55.580067,6443300
2017-05-08,61.070000,61.070000,60.700001,60.939999,55.570946,5588400
2017-05-09,60.580002,61.080002,60.570000,60.980000,55.836483,5806600
2017-05-10,60.880001,60.980000,60.209999,60.660000,55.543465,7198400
2017-05-11,60.450001,60.509998,60.029999,60.270000,55.186367,5516900
2017-05-12,60.279999,60.340000,59.830002,59.930000,54.875050,5647500
2017-05-15,60.419998,60.490002,60.130001,60.450001,55.351189,5904100
2017-05-16,60.680000,60.700001,59.880001,59.980000,54.920826,6303500
2017-05-17,59.970001,60.320000,59.549999,59.730000,54.691921,7581200
2017-05-18,59.730000,59.939999,58.869999,59.820000,54.774326,8602400
2017-05-19,59.939999,61.919998,59.939999,61.360001,56.184433,12531000
2017-05-22,61.029999,61.720001,61.029999,61.230000,56.065392,6391600
2017-05-23,61.400002,61.500000,60.860001,61.150002,55.992146,5622500
2017-05-24,61.400002,62.000000,60.939999,61.889999,56.669724,7249300
2017-05-25,62.009998,63.110001,61.900002,62.900002,57.594536,8931800
2017-05-26,63.009998,63.419998,62.970001,63.299999,57.960804,6098000
2017-05-30,63.070000,63.410000,63.009998,63.259998,57.924160,7094600
2017-05-31,63.270000,63.610001,63.080002,63.610001,58.244648,7314600
2017-06-01,63.509998,63.820000,63.349998,63.750000,58.372833,6058300
2017-06-02,63.880001,64.680000,63.700001,64.570000,59.123676,7840400
2017-06-05,64.849998,64.870003,64.180000,64.269997,58.848976,6808900
2017-06-06,64.220001,64.349998,64.050003,64.160004,58.748260,5448400
2017-06-07,64.129997,64.300003,63.340000,63.500000,58.143925,8365000
2017-06-08,63.439999,63.580002,62.020000,62.240002,56.990200,11289300
2017-06-09,62.369999,62.480000,61.869999,62.189999,56.944416,11240500
2017-06-12,61.799999,61.990002,60.630001,61.290001,56.120331,11071600
2017-06-13,61.119999,61.259998,60.590000,60.919998,55.781536,9384900
2017-06-14,60.669998,60.820000,59.860001,60.270000,55.186367,9703300
2017-06-15,59.919998,60.279999,59.509998,60.090000,55.021553,7516000
2017-06-16,59.889999,60.160000,59.470001,60.139999,55.067337,11522400
2017-06-19,60.349998,61.000000,60.110001,60.900002,55.763237,6778000
2017-06-20,60.980000,61.000000,59.700001,59.860001,54.810955,6985700
2017-06-21,60.000000,60.310001,59.709999,59.959999,54.902519,6027600
2017-06-22,60.090000,60.099998,59.400002,59.509998,54.490475,5602000
2017-06-23,59.759998,60.169998,59.580002,59.810001,54.765175,6469500
2017-06-26,60.020000,60.150002,59.330002,59.639999,54.609509,5674600
2017-06-27,59.540001,59.689999,58.810001,58.959999,53.986870,5652400
2017-06-28,59.060001,59.250000,58.799999,59.180000,54.188313,5419200
2017-06-29,59.169998,59.180000,57.959999,58.360001,53.437473,7421200
2017-06-30,58.680000,58.950001,58.290001,58.310001,53.391705,8117100
2017-07-03,58.900002,58.990002,58.250000,58.250000,53.336746,4575300
2017-07-05,58.430000,58.500000,57.799999,57.939999,53.052902,7773600
2017-07-06,57.799999,57.919998,57.400002,57.599998,52.741570,8886600
2017-07-07,57.790001,58.360001,57.540001,58.040001,53.144466,7278300
2017-07-10,58.180000,58.349998,57.750000,57.810001,52.933865,4832100
2017-07-11,57.910000,58.080002,57.529999,57.900002,53.016277,5422300
2017-07-12,58.209999,58.709999,58.020000,58.540001,53.602295,7141900
2017-07-13,58.799999,58.869999,58.119999,58.380001,53.455784,8460200
2017-07-14,58.400002,58.919998,58.279999,58.759998,53.803734,5441400
2017-07-17,58.730000,58.869999,58.279999,58.330002,53.410011,6774500
2017-07-18,58.119999,58.580002,57.689999,58.209999,53.300121,7857500
2017-07-19,58.150002,58.410000,57.900002,58.110001,53.208561,8203600
2017-07-20,58.410000,58.840000,58.000000,58.029999,53.135300,10546700
2017-07-21,57.919998,58.259998,57.830002,57.980000,53.089527,6717200
2017-07-24,58.000000,58.250000,57.930000,58.020000,53.126156,7442600
2017-07-25,58.220001,58.840000,57.980000,58.549999,53.611446,7933100
2017-07-26,58.799999,58.840000,57.779999,57.939999,53.052902,8775900
2017-07-27,58.250000,59.660000,57.930000,59.500000,54.481316,23286700
2017-07-28,55.230000,55.959999,53.410000,54.000000,49.445225,53454800
2017-07-31,54.480000,54.680000,53.950001,53.980000,49.426914,20299400
2017-08-01,54.570000,54.790001,53.970001,54.730000,50.113655,18120900
2017-08-02,54.750000,55.450001,54.669998,55.430000,50.754616,14764900
2017-08-03,55.639999,56.119999,55.500000,55.680000,50.983528,13331500
2017-08-04,55.970001,56.049999,55.090000,55.439999,50.763763,9179800
2017-08-07,55.599998,55.930000,55.419998,55.630001,50.937752,7253900
2017-08-08,55.549999,55.580002,54.360001,54.520000,50.146732,11095300
2017-08-09,54.430000,54.430000,53.299999,53.740002,49.429291,16717700
2017-08-10,53.520000,53.750000,52.990002,53.070000,48.813030,13235300
2017-08-11,53.049999,53.400002,53.049999,53.180000,48.914211,9235000
2017-08-14,53.599998,53.599998,53.180000,53.220001,48.951000,7426500
2017-08-15,53.410000,53.419998,52.889999,53.150002,48.886620,6674600
2017-08-16,53.259998,53.919998,53.250000,53.500000,49.208542,7667100
2017-08-17,53.320000,53.779999,52.990002,53.040001,48.785442,7451700
2017-08-18,52.919998,53.090000,52.580002,52.700001,48.472710,10370500
2017-08-21,53.139999,53.520000,52.799999,53.150002,48.886620,12753200
2017-08-22,53.490002,54.740002,53.389999,54.450001,50.082336,14547600
2017-08-23,53.959999,54.099998,53.650002,54.080002,49.742020,11838500
2017-08-24,54.259998,54.450001,53.770000,53.939999,49.613243,8716700
2017-08-25,54.619999,54.689999,54.189999,54.360001,49.999561,8601100
